Timestamp (Elapsed time in seconds),PID,FPS,FPS 1(%) Low,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM)
64.745,23316,135.471,88.856,11.641,0,71,82,54,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65.252,23316,129.259,88.572,14.838,0,62,80,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65.762,23316,132.03,87.778,13.291,0,69,87,55,2865,8451,1.07,911,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66.272,23316,136.186,86.222,14.293,0,64,90,56,2865,8451,1.07,913,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66.787,23316,135.103,84.269,14.017,0,65,82,54,2865,8451,1.07,913,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67.297,23316,133.063,84.269,14.283,0,62,90,55,2865,8451,1.07,915,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67.81,23316,137.393,86.336,12.899,0,65,87,55,2865,8451,1.07,915,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68.323,23316,136.27,79.101,14.212,0,61,87,55,2865,8451,1.07,916,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68.833,23316,137.732,79.834,12.086,0,67,84,55,2865,8451,1.07,916,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69.339,23316,136.649,88.83,12.538,0,63,88,56,2865,8451,1.07,916,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69.848,23316,136.649,88.83,12.538,0,66,76,54,2865,8451,1.07,916,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70.356,23316,135.834,84.539,13.871,0,64,86,55,2865,8451,1.07,916,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70.863,23316,135.834,84.539,13.871,0,68,87,56,2865,8451,1.07,915,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71.373,23316,129.86,84.392,13.954,0,79,82,55,2865,8451,1.07,915,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71.884,23316,126.844,73.531,13.437,0,80,78,54,2865,8451,1.07,914,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72.399,23316,133.915,84.34,13.39,0,70,84,54,2865,8451,1.07,915,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72.909,23316,132.636,76.534,12.173,0,68,81,55,2865,8451,1.07,916,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73.422,23316,133.484,76.534,12.78,0,65,78,54,2865,8451,1.07,917,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73.934,23316,133.484,76.534,12.78,0,66,84,55,2865,8451,1.07,920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74.445,23316,136.579,88.479,14.51,0,65,85,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74.952,23316,136.91,86.151,12.423,0,65,81,54,2865,8451,1.07,922,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75.462,23316,140.178,83.732,14.117,0,64,86,54,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75.975,23316,134.417,73.035,12.825,0,72,80,55,2865,8451,1.07,919,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76.483,23316,127.799,70.661,14.126,0,80,77,54,2865,8451,1.07,920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76.996,23316,127.063,76.993,13.569,0,80,76,54,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77.506,23316,125.14,82.723,14.286,0,82,78,54,2865,8451,1.07,920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78.018,23316,124.172,78.286,13.313,0,80,70,54,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78.522,23316,126.607,77.465,12.758,0,78,75,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79.032,23316,126.283,77.871,11.586,0,79,74,54,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79.544,23316,120.013,67.69,12.291,0,83,77,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80.052,23316,122.738,67.69,12.955,0,79,82,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80.561,23316,127.564,72.028,10.601,0,83,80,54,2865,8451,1.07,920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81.07,23316,127.564,72.028,10.601,0,76,78,54,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81.574,23316,132.578,81.25,13.479,0,66,87,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82.086,23316,136.419,81.25,11.877,0,64,87,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82.596,23316,142.74,81.937,12.022,0,64,82,54,2865,8451,1.07,920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83.107,23316,138.313,85.683,13.051,0,65,85,55,2865,8451,1.07,921,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83.616,23316,140.374,86.001,13.396,0,65,79,55,2865,8451,1.07,920,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84.128,23316,137.348,86.823,13.281,0,63,86,55,2865,8451,1.07,922,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84.641,23316,137.871,87.664,12.268,0,66,86,55,2865,8451,1.07,924,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85.153,23316,135.449,87.508,11.973,0,64,86,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85.663,23316,136.246,86.707,14.171,0,65,85,55,2865,8451,1.07,926,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86.175,23316,134.966,80.632,13.029,0,64,83,55,2865,8451,1.07,926,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86.688,23316,138.855,86.464,13.274,0,64,85,54,2865,8451,1.07,927,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87.201,23316,131.153,78.012,12.603,0,66,82,54,2865,8451,1.07,926,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87.707,23316,131.334,78.012,14.477,0,63,86,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88.212,23316,135.119,86.667,14.233,0,64,85,55,2865,8451,1.07,924,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88.722,23316,134.898,85.153,14.642,0,65,82,55,2865,8451,1.07,924,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89.228,23316,136.308,85.153,12.146,0,66,87,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89.744,23316,137.075,86.893,13.615,0,66,85,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90.252,23316,135.756,83.96,13.526,0,62,90,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90.763,23316,138.666,83.829,13.762,0,66,87,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91.273,23316,135.388,83.829,12.366,0,63,86,55,2865,8451,1.07,925,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91.782,23316,137.61,81.276,11.761,0,64,83,55,2865,8451,1.07,926,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92.293,23316,134.528,81.276,12.559,0,63,85,55,2865,8451,1.07,926,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92.809,23316,135.715,81.965,11.711,0,66,75,55,2865,8451,1.07,927,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93.32,23316,135.735,81.188,11.759,0,62,82,54,2865,8451,1.07,928,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93.827,23316,136.837,85.337,12.181,0,65,77,55,2865,8451,1.07,928,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
